full_name,html_url,stargazers_count,forks_count,collaborators,open_issues_count,description,archived,created_at,updated_at,pushed_at
avelino/awesome-go,https://github.com/avelino/awesome-go,107883,11247,428,168,"A curated list of awesome Go frameworks, libraries and software",False,2014-07-06 13:42:15,2023-09-10 17:40:36,2023-09-07 14:40:27
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,101528,37681,353,2741,Production-Grade Container Scheduling and Management,False,2014-06-06 22:56:04,2023-09-10 17:28:28,2023-09-10 17:26:11
gin-gonic/gin,https://github.com/gin-gonic/gin,71377,7687,381,739,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",False,2014-06-16 23:57:25,2023-09-10 16:49:07,2023-09-08 14:18:08
gohugoio/hugo,https://github.com/gohugoio/hugo,68918,7345,425,635,The world’s fastest framework for building websites.,False,2013-07-04 15:26:26,2023-09-10 16:30:00,2023-09-10 17:11:46
moby/moby,https://github.com/moby/moby,66625,18844,402,4033,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,False,2013-01-18 18:10:57,2023-09-10 16:52:19,2023-09-10 17:42:36
syncthing/syncthing,https://github.com/syncthing/syncthing,54178,3867,287,328,Open Source Continuous File Synchronization,False,2013-11-26 09:48:21,2023-09-10 16:56:28,2023-09-10 17:42:11
traefik/traefik,https://github.com/traefik/traefik,44544,4707,419,641,The Cloud Native Application Proxy,False,2015-09-13 19:04:02,2023-09-10 16:25:44,2023-09-09 13:26:05
etcd-io/etcd,https://github.com/etcd-io/etcd,44425,9472,374,227,Distributed reliable key-value store for the most critical data of a distributed system,False,2013-07-06 21:57:21,2023-09-10 16:22:16,2023-09-10 11:35:44
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,43082,8757,83,26,A platform for building proxies to bypass network restrictions.,False,2015-09-04 11:42:53,2023-09-10 16:24:09,2023-09-07 03:03:51
nektos/act,https://github.com/nektos/act,43052,1072,161,173,Run your GitHub Actions locally 🚀,False,2019-01-02 19:53:43,2023-09-10 16:03:26,2023-09-04 18:35:08
gogs/gogs,https://github.com/gogs/gogs,42874,4826,414,875,Gogs is a painless self-hosted Git service,False,2014-02-12 01:57:08,2023-09-10 17:53:18,2023-09-04 21:13:53
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,42500,2251,36,128,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,False,2018-06-25 05:33:03,2023-09-10 14:27:18,2023-08-29 08:51:00
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,42298,10794,350,126,A golang ebook intro how to build a web with golang,False,2012-08-02 11:49:35,2023-09-10 16:19:11,2023-09-01 02:56:13
minio/minio,https://github.com/minio/minio,40722,4906,417,43,High Performance Object Storage for AI,False,2015-01-14 19:23:58,2023-09-10 17:21:11,2023-09-10 10:20:57
rclone/rclone,https://github.com/rclone/rclone,40169,3665,394,886,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files",False,2014-03-16 16:19:57,2023-09-10 16:10:34,2023-09-10 11:01:04
go-gitea/gitea,https://github.com/go-gitea/gitea,38242,4847,401,2302,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",False,2016-11-01 02:13:26,2023-09-10 17:36:22,2023-09-10 16:15:59
wagoodman/dive,https://github.com/wagoodman/dive,38234,1527,47,135,A tool for exploring each layer in a docker image,False,2018-05-13 15:44:01,2023-09-10 14:54:24,2023-09-06 20:48:46
go-gorm/gorm,https://github.com/go-gorm/gorm,33530,3699,349,261,"The fantastic ORM library for Golang, aims to be developer friendly",False,2013-10-25 08:31:38,2023-09-10 14:26:49,2023-09-08 12:11:44
spf13/cobra,https://github.com/spf13/cobra,33296,2758,272,231,A Commander for modern Go CLI interactions,False,2013-09-03 20:40:26,2023-09-10 16:37:17,2023-09-08 19:34:16
cli/cli,https://github.com/cli/cli,33204,5448,407,452,GitHub’s official command line tool,False,2019-10-03 15:24:53,2023-09-10 17:02:23,2023-09-08 16:05:34
docker/compose,https://github.com/docker/compose,30431,5003,142,194,Define and run multi-container applications with Docker,False,2013-12-09 11:40:58,2023-09-10 16:24:30,2023-09-08 15:35:58
coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,30277,2969,69,76,A node.js version management utility for Windows. Ironically written in Go.,False,2014-09-20 16:37:28,2023-09-10 16:35:44,2023-08-17 06:59:00
alist-org/alist,https://github.com/alist-org/alist,29994,4175,80,75,"🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。",False,2020-12-23 17:40:29,2023-09-10 17:39:08,2023-09-10 08:50:21
photoprism/photoprism,https://github.com/photoprism/photoprism,28572,1590,151,390,AI-Powered Photos App for the Decentralized Web 🌈💎✨,False,2018-01-27 12:00:15,2023-09-10 15:49:09,2023-09-09 19:39:54
influxdata/influxdb,https://github.com/influxdata/influxdb,26069,3425,322,1800,"Scalable datastore for metrics, events, and real-time analytics",False,2013-09-26 14:31:10,2023-09-10 16:26:45,2023-08-20 02:18:22
spf13/viper,https://github.com/spf13/viper,23961,1969,155,471,Go configuration with fangs,False,2014-04-02 14:33:33,2023-09-10 17:27:27,2023-09-09 06:28:57
nsqio/nsq,https://github.com/nsqio/nsq,23750,2887,109,62,A realtime distributed messaging platform,False,2012-05-12 14:37:08,2023-09-10 12:38:11,2023-07-16 20:11:26
schollz/croc,https://github.com/schollz/croc,23510,1001,79,138,Easily and securely send things from one computer to another :crocodile: :package:,False,2017-10-17 15:20:18,2023-09-10 14:14:00,2023-09-05 03:06:06
openfaas/faas,https://github.com/openfaas/faas,23463,1870,162,34,OpenFaaS - Serverless Functions Made Simple,False,2016-12-22 12:51:39,2023-09-10 16:26:31,2023-09-07 05:33:16
inconshreveable/ngrok,https://github.com/inconshreveable/ngrok,23203,4323,22,239,Introspected tunnels to localhost,False,2013-03-20 09:37:43,2023-09-10 11:46:25,2023-07-09 00:44:48
go-playground/validator,https://github.com/go-playground/validator,13949,1207,173,238,":100:Go Struct and Field validation, including Cross Field, Cross Struct, Map, Slice and Array diving",False,2015-02-12 16:32:22,2023-09-10 16:20:17,2023-09-08 10:17:59
hashicorp/nomad,https://github.com/hashicorp/nomad,13944,1864,366,1559,"Nomad is an easy-to-use, flexible, and performant workload orchestrator that can deploy a mix of microservice, batch, containerized, and non-containerized applications. Nomad is easy to operate and scale and has native Consul and Vault integrations.",False,2015-06-01 10:21:00,2023-09-10 16:22:09,2023-09-08 22:57:55
nats-io/nats-server,https://github.com/nats-io/nats-server,13492,1288,122,247,"High-Performance server for NATS.io, the cloud and edge native messaging system.",False,2012-10-29 16:12:24,2023-09-10 16:24:02,2023-09-10 17:22:27
tinygo-org/tinygo,https://github.com/tinygo-org/tinygo,13420,783,154,473,"Go compiler for small places. Microcontrollers, WebAssembly (WASM/WASI), and command-line tools. Based on LLVM.",False,2018-06-07 16:39:19,2023-09-10 09:25:43,2023-09-10 15:40:34
revel/revel,https://github.com/revel/revel,12968,1414,129,97,"A high productivity, full-stack web framework for the Go language.",False,2011-12-09 04:10:26,2023-09-10 04:14:25,2023-09-06 14:05:48
gopherjs/gopherjs,https://github.com/gopherjs/gopherjs,12097,590,64,186,A compiler from Go to JavaScript for running Go code in a browser,False,2013-08-27 22:23:58,2023-09-09 20:54:58,2023-09-06 03:19:55
peterq/pan-light,https://github.com/peterq/pan-light,11973,2480,2,90,"百度网盘不限速客户端, golang + qt5, 跨平台图形界面",False,2019-03-21 14:34:26,2023-09-10 04:40:50,2023-09-06 14:07:49
sqshq/sampler,https://github.com/sqshq/sampler,11700,529,14,52,"Tool for shell commands execution, visualization and alerting. Configured with a simple YAML file.",False,2019-01-25 04:10:21,2023-09-08 17:49:40,2023-08-30 13:53:25
robfig/cron,https://github.com/robfig/cron,11693,1545,29,126,a cron library for go,False,2012-07-06 14:06:34,2023-09-10 17:42:52,2023-08-02 20:50:58
go-martini/martini,https://github.com/go-martini/martini,11609,1148,90,14,Classy web framework for Go,False,2013-10-30 02:34:07,2023-09-08 20:56:03,2022-03-29 19:42:09
cosmtrek/air,https://github.com/cosmtrek/air,11527,689,59,132,☁️ Live reload for Go apps,False,2017-10-12 14:31:40,2023-09-10 16:42:24,2023-09-10 12:22:42
muesli/duf,https://github.com/muesli/duf,11437,379,28,62,Disk Usage/Free Utility - a better 'df' alternative,False,2020-09-20 21:22:38,2023-09-09 18:39:48,2023-08-26 15:26:12
direnv/direnv,https://github.com/direnv/direnv,10836,600,175,289,unclutter your .profile,False,2011-01-04 12:46:15,2023-09-10 07:41:21,2023-09-08 18:04:10
GoogleCloudPlatform/terraformer,https://github.com/GoogleCloudPlatform/terraformer,10749,1496,163,73,CLI tool to generate terraform files from existing infrastructure (reverse Terraform). Infrastructure to Code,False,2019-05-01 22:37:33,2023-09-10 17:34:22,2023-09-05 04:03:12
google/grumpy,https://github.com/google/grumpy,10570,676,26,80,Grumpy is a Python to Go source code transcompiler and runtime.,True,2016-12-21 17:49:01,2023-09-08 17:18:34,2022-01-18 09:01:43
IBM/sarama,https://github.com/IBM/sarama,10336,1711,236,184,Sarama is a Go library for Apache Kafka.,False,2013-07-05 18:52:38,2023-09-09 06:43:36,2023-09-08 16:34:41
DNSCrypt/dnscrypt-proxy,https://github.com/DNSCrypt/dnscrypt-proxy,10332,995,87,8,"dnscrypt-proxy 2 - A flexible DNS proxy, with support for encrypted DNS protocols.",False,2018-01-08 23:21:21,2023-09-10 13:02:40,2023-09-05 20:37:59
esimov/caire,https://github.com/esimov/caire,10241,386,9,3,Content aware image resize library,False,2018-01-08 19:23:04,2023-09-09 17:30:40,2023-03-31 12:29:10
kubernetes-sigs/kustomize,https://github.com/kubernetes-sigs/kustomize,9990,2169,350,264,Customization of kubernetes YAML configurations,False,2018-05-11 17:09:33,2023-09-10 13:45:01,2023-09-09 07:23:44
jroimartin/gocui,https://github.com/jroimartin/gocui,9382,621,17,74,Minimalist Go package aimed at creating Console User Interfaces.,False,2014-01-04 02:50:20,2023-09-10 09:23:43,2023-06-01 12:06:02
